Date,Location,Team,GF,GA,GF%,GA%,Sh%,Sv%,PP%,PK%,Class
43394,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43394,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43394,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43394,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43394,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43394,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Loss
43394,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43394,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43397,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43397,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43398,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43398,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43399,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43399,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43399,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43399,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43399,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43399,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43399,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43399,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43399,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43400,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43400,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Loss
43400,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43401,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43401,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43401,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43401,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43401,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43404,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43404,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Loss
43405,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43405,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43406,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43406,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Loss
43406,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43406,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43406,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43406,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43406,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43406,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43406,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43408,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43408,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43408,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43408,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43408,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43408,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43408,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43408,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43408,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43411,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43412,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43412,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43413,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43413,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43413,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Loss
43413,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43413,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43413,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Loss
43413,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43413,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43414,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43414,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43414,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43414,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Loss
43415,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43415,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43415,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43415,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43419,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43419,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43420,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Loss
43420,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43420,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43420,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43420,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
